Name,City,Barangay,Province,Specialty,PriceRange,SeatingCapacity,OtherData,CustomerReview
Cafe Ilang-Ilang,Manila,Rizal Park,NCR,Vegetarian Friendly,350 to 1488,N/A,"CUISINES Italian, Chinese, Japanese, American, Filipino, Asian","Been here a couple of times, and this might be a little too late to review but i still wanted to drop a message to one of the homeist restaurant in Manila and i kinda miss Filipino feels ambiance and foods. Will surely visit again after this pandemic."
Le Bar,Manila,Centro Commercial,NCR,"Vegetarian Friendly, Gluten Free Option",N/A,60,"Takeout, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, Reservations",I am sending this comment to recommend Mr. Deveza for being good bartender with a positive attitude. His attention to detail and ability to remember patrons’ favorite drinks made him quite popular with the regulars. Mr. Deveza's professionalism and dedication would be an asset to Le Bar Sofitel.
Li Li,Manila,Malate,NCR,"Chinese, Asian",N/A,287,Vegetarian Foods,Had our dinner business meeting here last week and staffs are very accommodating especially to Ms. San San and Ms. Honey. I’d definitely will go back here and invite some friends! Cheers! 🥂
Yurakuen Japanese Restaurant,Manila,Roxas,NCR,Japanese,"₱1,000 - ₱2,000",N/A,"Lunch, Dinner","It is a real good japenese restaurant. Make sure you are dressed well even if you're a tourist. They have been kind enough to borrow a jacket to my lover as he were a shirt without sleeves.Service was a little long that's why a didn't put the excellent note. But, the crew is really nice."
Summer Palace,Mandaluyong,Shangrila,NCR,Chinese,N/A,70,"Lunch, Dinner","I have tried eating here for lunch on a Sunday on two separate occassions. Both times the waiters were too busy. There were just too many customers. Some food that we ordered didn't arrive. Taste seems to be declining. We asked for the dimsum food cart 4 times before it arrived. Tips: make a reservation before going, eat on a weekday for dinner. Avoid weekends."
Eng Bee Tin,Manila,Binondo,NCR,Chinese,N/A,25,"Lunch, Dinner",This is your go to place for that good ube (Purple yam) or munggo (Mung Beans) hopia (local pastry with fillings). The staff are always very helpful also explaining to you the expiry and the way to keep your bought goodies. They also serve some hot snacks at the front of the shop to satisfy your quick tummy fixes. The only problem is parking if you are going there with your car. It is a challenge if you are alone.
My Kitchen at the Oasis,Manila,Paco,NCR,"Italian, Pizza, European","₱479 - ₱2,396",400,"Lunch, Dinner","I love their MOSCATO wine brand from Australia. I am not a Risotto fan but when I tried theirs, its been a constant favorite. My husbands favorite is their lambchops and my daughters their Risotto and brick oven pizza. Their complimentary bread and dips are also delicious."
Sky Deck at The Bayleaf Hotel,Manila,Intramuros,NCR,"Filipino, Bar, Asian, International",N/A,70,"Dinner, Drinks, Lunch","i enjoyed our breakfast here, so cozy and food were all delicious. they have a 360degree view of intramuros"
Market Cafe,Manila,brgy 734,NCR,"International, Asian, Healthy",190 to 1490,270,"Vegan Options, Vegetarian Friendly, Gluten Free Options","I never get tired of dining at Market Cafe whether it is breakfast or dinner. I love the food choices and I must say that their prime rib (dinner buffet) is one of the best!!! Nice, warm and friendly staff as well :) Their desserts also deserve a thumbs up!!!"
Tim Ho Wan,Mandaluyong,Megamall,NCR,"Chinese, Asian",N/A,105,"Lunch, Dinner, Brunch",If you like to eat various types of asian cuisine and if your like eating your veggies then I recommend this restaurant. After we ate we were not full but satisfied with their food.
Barbara's Heritage Restaurant,Manila,Intramuros,NCR,"Filipino, Asian, International",195 to 475,300,"Reservations, Private Dining, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music","We found this hidden gem while wandering in the charming old streets. We had a delicious brunch, fresh coconut. it is perfect to relax."
The Aristocrat Restaurant,Manila,Roxas,NCR,Filipino,₱240 - ₱479,200,Vegan Options,"The last time I ate there was in Manila. I was with a friend. The restaurant had a nice ambiance- not modern but a bit classy. Loved the food as always. I know they say it didn't have the same taste as the 70's but still, as a millennial eating there with a friend- it was overall a good experience. we sat there for 3 hours and I enjoyed it very much. Not too crowded. The servers were attentive."
Bistro Remedios,Manila,Malate,NCR,"Filipino, Asian",N/A,N/A,Vegetarian options,"Very good Great value for money the food looked amazing as it arrived was nice and hot and well prepared and presented, service was very good, nice and clean, good family atmosphere."
Uno Wharf Seafood Palace,Manila,Calvo,NCR,"Chinese, Asian, Seafood",190 to 490,210,Vegetarian options,"You have to accept that the foods from each region has different taste, it isnt like Philippine foods arent tasty but I prefer foods from my hometown. Uno restaurant make it brilliant the foods are tasty, not too salty and sour or sweet. Minus 1...More"
Ristorante Delle Mitre,Manila,Intramuros,NCR,"Filipino, Asian",275 to 298,300,Vegetarian options,"The servers should be taught how to be nice or courteous specially if the diner would just want to relax and have dinner with family. Also, they are cleaning up the table and removing the plates and utensils, it directly in a dishing tub and in so much hurry that it is bothersome and very noisy."
Dads-Saisaki-Kamayan,Manila,Ermita,NCR,"Filipino, Sushi, Asian",295 to 988,N/A,Vegetarian options,"Food served are all freshly cooked, well presented and palatable. Staff are accommodating and friendly. Portion of food provided at the carving station are enough to consume. Seafoods are fresh as well"
Casa Armas,Manila,Nakpil,NCR,"European, Spanish, Mediterranean","₱479 - ₱2,875",90,"Dinner, Lunch, Late Night","Cosy restaurant, very well located, fine wines, and all tapas well, nothing too special but certainly nothing bad. The best part is the lovely music."
Casa Roces,Pasig,San Miguel,NCR,"Spanish, Filipino, Asian",N/A,100,"Takeout, Reservations, Seating, Serves Alcohol, Table Service, Private Dining, Highchairs Available","I like their desserts, specially the turon. It was delicious and cute. Their menu is such a mess. They put their main dish into entree category... The worst part is, they over priced the total amount of our orders, then add the Vat. We didn't realised this until the next day. Too-sad-so-bad."
Tao Yuan Restaurant,Manila,Malate,NCR,"Chinese, Seafood, Asian",N/A,200,"Takeout, Reservations, Seating, Serves Alcohol, Table Service","We enjoyed the food in this restaurant. Fresh seafood dishes. Love the taste of the dishes. Best was the dessert, buchi. Sticky rice balls with sweet n salty cream inside the buchi balls. Freshly baked."
Korean Palace Restaurant,Manila,Malate,NCR,"Korean, Barbecue, Asian",₱240 - ₱479,60,"Dinner, Lunch, Late Night",Another top Korean restaurant with non meat options. Was only a short walk from my hotel. Friendly and helpful staff. Reasonably priced too. I visited it twice actually.
Mario's Restaurant,Baguio,Upper Session Road,Baguio,Spanish,310 to 2520,134,Gluten Free Options,"Food is still good here as always but has become a lot lot more pricey though food remains the same. Service dwindled a little bit as there seem to be less people on duty when we were there. Still the same formal ambience, still highly recommended when in Baguio."
Hamada,Baguio,Country Club,Baguio,"Japanese, Sushi, Asian",N/A,120,"Takeout, Reservations, Wheelchair Accessible, Serves Alcohol, Table Service","Food was good and priced very well, its not great but for the price its good enough. They have ramen good enough for two, free appetizers which changes. Service was friendly and swift. Kid friendly and very clean. It has a cozy atmosphere."
Mama's Table,Baguio,Ambuklao,Baguio,Dinner,N/A,N/A,"Reservations, Seating, Table Service","We ate here for a birthday celebration. The ambiance is so nice. We were given time to explore the property while the chef prepared our meal. The meal is sumptuous. The chef explained each meal before we tasted it. The chef is so accommodating. We had a good time. However, our lunch lasted fro three hours! imagine that."
Bistro Lokal,Baguio,Magsaysay,Baguio,"Filipino, Cafe, Asian",₱30 - ₱2000,N/A,"Lunch, Dinner, Brunch","One of the best dining experience in Baguio. Food is amazing, staff are attentive. The head chef comes out of his kitchen and talks to the diners. There is a certain vibe to the place that makes its diners feel that they are welcome and appreciated. Highly recommend this place"
O Dong Tong Samgyeopsal House Korean Restaurant,Baguio,Naguillan,Baguio,"Asian, Korean","₱7,188 - ₱23,960",N/A,"Lunch, Dinner, Late Night, Drinks",The dynamite kimbap is the best in their menu. It could have been better if they have more banchan. They only serve 3 and it already includes the kimchi.
