Name,City,Barangay,Province,Classification,VisitorsPeryear,Entrance Fee,OtherData,CustomerReview
Calle Crisologo,Vigan,N/A,Ilocos,Old Spanish Style Place,335000,N/A,"The town has successfully managed to preserve the historic district where you can still find calesas (horse-drawn carriages). Sample the famous and delicious Ilocos empanada, and walk along cobbled streets lined up with souvenir shops selling pottery and Abel Iloko weaves","Vigan is a capital city of Ilocos Sur. The city was recently awarded as one of #sevenwondersoftheworld in 2015. Vigan is one of so many oldest city preserved from spanish colonial era. The city is very clean so many trash bins around the area, most museums are free entrance and tricycle and caleza are the most common transportation use conveniently can be find everywhere for a trip of 40 to 60 peso only."
Nacpan Beach,El Nido,N/A,Palawan,Beach Resort,36000,N/A,"El Nido in Palawan is most famous for its paradise-like islands and lagoons, but a 45-minute ride away through a land tour from its main town takes you to another idyllic destination: Nacpan Beach.","One of the most beautiful beaches in the Philippines. It's difficult to reach, that's the minus and entrance is paid."
Tubbataha Reef,Cagayancillo,N/A,Palawan,Beach Resort,13475,N/A,"Tubbataha Reef is regarded as one of the top diving spots in the Philippines, and perhaps, the world. Located at the heart of the Sulu Sea, it is considered a center of marine biodiversity and a haven not just for divers but marine conservationists as well. The only way to get to this marine sanctuary is through a liveaboard vessel from Puerto Princesa, Palawan.","World class diving with Solitude One.. only missed a year since the first trip in 1015. And getting better each year!Whalesharks in its natural environment.. as they say, the free range kind. Not the ones from feeding practices."
Mayon Volcano,Albay,N/A,Legaspi,Volcano,1270000,N/A,"As soon as your flight lands at the airport in Legazpi City, the world’s most perfect volcanic cone, and the most active volcano in the Philippines, greets you with its majesty. Mayon Volcano is one of the most beautiful places to visit in the Philippines and is a top attraction in any Bicol tour.",I've been trap in Legazpi city for 2 months because of the pandemic. Wonderful creation! Amazing view. Saw it in 360 degrees.
Intramuros and Fort Santiago,Manila,Intramuros,NCR,Museum,2000000,75,Take a stroll through history lane within the walled city of Intramuros in Manila. This 64-hectare Spanish fortress was erected by Miguel Lopez de Legazpi and was destroyed by the end of World War II.,You can see the Spanish glory in the beautiful fort. It is so amazing to cross the ocean and feel like you are in Europe.
Taal Volcano and Lake,Tagaytay,N/A,Calabarzon,Lake,N/A,N/A,"Locals and foreign visitors from Manila often take a quick escape from the megacity and make their way down south to Tagaytay, a relaxing town famous for its cool weather and magnificent views.",Recently exploded but rare to see Volcano in island. Very near Manila and well worth seeing. Lots of Hotels and Eateries. Easy to and Starbucks overlooks Taal
Kawasan Falls,Badian,N/A,Cebu,Falls,N/A,45,"If you like jumping into or swimming in cool cascading waters, Kawasan Falls in Cebu hits the sweet spot. It is a multi-layered waterfall in the town of Badian, and is best known for its turquoise waters.",Kawasan falls are located in the south of the island of Cebu in the Philippines. This series of beautiful waterfalls with a mystical blue / turquoise colour should most certainly be on your itinerary in the Philippines!
Kayangan Lake,Coron,N/A,Palawan,Lake,N/A,300,"Undoubtedly one of the most photographed and iconic destinations in the Philippines is Kayangan Lake in Coron, Palawan. Its lagoon is a dreamy mix of blues and greens glistening on a bright, sunny day. ","Kayangan Lake a must visit in Coron Palawan! going there was a bit hard, you will hike for about 15 minutes before you got to see the beautiful Kayangan Lake. Absolutely instagramable. I Super love it."
Rizal Park,Manila,Ermita,NCR,Park,1800000,50,Many travelers skip Manila and make their way to the Philippines' other islands but a day or two in the country’s capital to go on Manila tours is still highly recommended.,In my own opinion when you say Philippines it's automatic that the next word or person that you may link to it after the word Manila is Rizal. We can say that Philippines is Rizal and Rizal is Philippines.
Banaue Rice Terraces,Nueva Viscaya,Batad,Ifugao,Rice Terraces,N/A,N/A,The Ifugao people were highly skilled in carving both wood and mountainsides. The Banaue Rice Terraces is listed as a UNESCO World Heritage Site. It offers spectacular views of emerald hues during the rice-growing seasons of April-May and October-November.,"I did several day tours (mostly hikes) ranging from 6-10 hours and did the 3-day homestay hike to Cambulo and Batad. On this homestay hike we trekked for 19 km the first day to Cambulo, and the children sang and danced traditional songs/dances for us- they were wonderful! Everyone knows Robert as he is local, friendly, has served on the Tourism Board and is excellent at explaining, dancing, demonstrating the various cultural practices. I recommend him highly for any activity in the area. He has an excellent driver and will pick you up at the Cauayan Airport for 7000 pesos."
