name,location,city,category,price_range,rating,review
Luljetta's Hanging Gardens Spa Day Pass,"Luljettas Place Loreland Farm Resort Brgy. San Roque, Antipolo City, Philippines 1870",Antipolo City,tourist spot,  ₱ 895,4.7,THE PLACE WAS LIKE A HAVEN TO ME. SUPER PEACEFUL AND EVERYWHERE ELSE SMELLS LIKE A LEMON GRASS! I’m so inlove♥️ They also have me a complementary piece of cake for my birthday! It was a happy day indeed😍
The Suites at Calle Nueva,"15 Corner Nueva - Locsin Streets, Bacolod City, Negros Occidental, Bacolod, Philippines, 6100",Bacolod,hotel,900,8.9,"The location is strategically located at all tourist spots and transport terminals. Lakawon Island, Mambukal Resort, Campuestuhan Resort, Calea and The Ruins can be done via commute. Please ask direction to Hotel Receptionist and you'll never be lost. The room has good airconditioned and the bed is really comfortable. The toilet is very clean and they have heater. Basic toiletries have been provided. The TV has cable. The buffet breakfast is absolutely good. The people on this hotel is very hospitable and welcoming. Please take care of your employees as they are the reason why guests are keep on coming back and choosing The Suites at Calle Nueva. The area has 24/7 security which ensure the safety of your guests. The location is 5-minute walks towards SM City Bacolod and 2-minute walks in Chicken Bacolod Manukang Bayan. 3-minute walks to Original Bong Bong Pasalubong. The hotel offers shuttle from hotel-airport for affordable price. Every day, the housing cleaning ensures cleanliness of the room after a very tiring day. Overall, I was really satisfied on the service and definitely I gave 10-star. Keep up the good work!!"
Avenue Suites Hotel and Spa,"12th Street Lacson Street , Bacolod City, Negros Occidental, Bacolod, Philippines, 6100",Bacolod,hotel,2600,8.5,The location is really what's superb for this hotel. You can definitely go to most spots from here. You can even walk from the hotel to the famous restaurants and cafÃ©s which we enjoyed a lot!
Grand Sierra Pines Hotel,"43 North Outlook Drive, Barangay Gibraltar, Baguio City, Benguet, Baguio, Philippines, 2600",Baguio,hotel,9200,9.2,"We stayed at Grand sierra from December 31 2017 to January 2,2018. Service is great. They were very attentive to our every request. Ambiance is great. Very modern. All in all, thumbs up for Grand sierra pines hotel."
Bed and Bath at Station 120,"101 Lower General Luna Road, Baguio City Proper, Baguio City, Benguet, Philippines, 2600",Baguio,hotel,650,8.7,"Good service, clean room and toilet. "
V Hotel and Apartel,"14 Bukaneg Street, Baguio City Proper, Baguio City, Benguet, Philippines, 2600",Baguio,hotel,3000,9.1,Staff are friendly and approachable. Tends to your need as soon as they can
The Zillion Builders Pavillion,"A. Tangco Road, Balintawak, Lipa, Batangas, Philippines, 4217",Batangas,hotel,1170,8.5,Nice place and relaxing. Staff were accommodating.
Sea's Spring Resort,"Barangay Mainit, Anilao, Mabini, Batangas, Philippines, 4202",Batangas,hotel,2700,8.5,We had a fun stay at this resort. The hot and sauna was very good. Very rejuvenating. Swimming pool kid friendly not being too deep. Rooms where clean and big. Water supply was strong since we are on the 3rd floor. Food for breakfast was good. Very relaxing stay. Value for money
Acuaverde Beach Resort,".Lobo-Malabrigo - Laiya Road, Laiya, San Juan, Batangas, Philippines, 4226",Batangas,hotel,6200,9.1,We had a great time at the beach because the staff were very accommodating; food and beach were really great. 
Canyon Woods Golf Day Trip in Tagaytay,"Diokno Highway, Brgy. San Gregorio Laurel Batangas, Philippines",Batangas,tourist spot,"  ₱ 1,200",,
