admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Adasen,Agta,Agta-Dumagat,Agusan Manobo,Agutaynen,Akeanon,Alangan,Ata,Ata-Manobo,Ayangan Ifugao,Ayta language group,Bagobo/Tagabawa,Balangao,Baliwon/Ga'dang,Banao,Bantoanon,Belwang (N.Bontok dialect),Bikol,Binongan,Binukid,Bisaya/Binisaya,B'laan/Blaan language group,Bontok,Bugkalot/Ilongot,Buhid,Cagayanen,Capizeño,Cebuano,Chavacano,Cuyonon/Cuyonen,Davaweño,Dibabawon,Dumagat/Remontado,English,Gaddang,Giangan,Hanunuo,Higaonon,Hiligaynon Ilonggo,Ibaloi/Ibaloy,Ibanag,Ibatan,Ilianen Manobo,Ilocano,Iranun,Iraya,Isinai,Isnag,Itawis,Ivatan,Iwak/Iowak/Owak/I-wak,Jama Mapun,Kalagan,Kalanguya,Kalibugan/Kolibugan,Kalinga language group,Kamiguin,Kankanaey,Kapampangan,Karao,Karay-a,Kirenteken,Mabaka,Maeng,Maguindanao,Majokayong,Mamanwa,Mandaya,Manobo,Manobo-Cotabato,Mansaka,Maranao,Masadiit,Masbateño/Masbatenon,Matigsalog/Matigsalug,Molbog,Muyadan,Obo Manobo,Unspecified Sama language,Palawani,Palawano language group,Pangasinan/Panggalato,Paranan,Romblomanon,Sama Bangingi,Sama Laut,Sangil,Subanen/Subanon/Subanun,Surigaonon,Tadyawan,Tagakaulo,Tagalog,Tagbanua,Tagbanua Calamian,Tau-buid,Tausug,Tboli,Teduray,Tuwali,Waray,Yakan,Yogad,Zambal,Other languages,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+lang+pct+iso639-3_tiu,#indicator+lang+pct+iso639-3_dul,#indicator+lang+pct+iso639-3_dgc,#indicator+lang+pct+iso639-3_msm,#indicator+lang+pct+iso639-3_agn,#indicator+lang+pct+iso639-3_akl,#indicator+lang+pct+iso639-3_alj,#indicator+lang+pct+iso639-3_atm,#indicator+lang+pct+iso639-3_atd,#indicator+lang+pct+iso639-3_ifb,#indicator+lang+pct+iso639-3_group,#indicator+lang+pct+iso639-3_bgs,#indicator+lang+pct+iso639-3_blw,#indicator+lang+pct+iso639-3_gdg,#indicator+lang+pct+iso639-3_bjx,#indicator+lang+pct+iso639-3_bno,#indicator+lang+pct+iso639-3_rbk,#indicator+lang+pct+iso639-3_bik,#indicator+lang+pct+iso639-3_itb,#indicator+lang+pct+iso639-3_bkd,#indicator+lang+pct+iso639-3_bsy,#indicator+lang+pct+iso639-3_group,#indicator+lang+pct+iso639-3_bnc,#indicator+lang+pct+iso639-3_ilk,#indicator+lang+pct+iso639-3_bku,#indicator+lang+pct+iso639-3_cgc,#indicator+lang+pct+iso639-3_cps,#indicator+lang+pct+iso639-3_ceb,#indicator+lang+pct+iso639-3_cbk,#indicator+lang+pct+iso639-3_cyo,#indicator+lang+pct+iso639-3_daw,#indicator+lang+pct+iso639-3_mbd,#indicator+lang+pct+iso639-3_agv,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_gad,#indicator+lang+pct+iso639-3_bgi,#indicator+lang+pct+iso639-3_hnn,#indicator+lang+pct+iso639-3_mba,#indicator+lang+pct+iso639-3_hil,#indicator+lang+pct+iso639-3_ibl,#indicator+lang+pct+iso639-3_ibg,#indicator+lang+pct+iso639-3_ivb,#indicator+lang+pct+iso639-3_mbi,#indicator+lang+pct+iso639-3_ilo,#indicator+lang+pct+iso639-3_ilp,#indicator+lang+pct+iso639-3_iry,#indicator+lang+pct+iso639-3_inn,#indicator+lang+pct+iso639-3_isd,#indicator+lang+pct+iso639-3_itv,#indicator+lang+pct+iso639-3_ivv,#indicator+lang+pct+iso639-3_iwk,#indicator+lang+pct+iso639-3_sjm,#indicator+lang+pct+iso639-3_kge,#indicator+lang+pct+iso639-3_kak,#indicator+lang+pct+iso639-3_skn,#indicator+lang+pct+iso639-3_group,#indicator+lang+pct+iso639-3_mkx,#indicator+lang+pct+iso639-3_kne,#indicator+lang+pct+iso639-3_pam,#indicator+lang+pct+iso639-3_kyj,#indicator+lang+pct+iso639-3_krj,#indicator+lang+pct+iso639-3_mbb,#indicator+lang+pct+iso639-3_kkg,#indicator+lang+pct+iso639-3_itt,#indicator+lang+pct+iso639-3_mdh,#indicator+lang+pct+iso639-3_kmd,#indicator+lang+pct+iso639-3_mmn,#indicator+lang+pct+iso639-3_mry,#indicator+lang+pct+iso639-3_mno,#indicator+lang+pct+iso639-3_mta,#indicator+lang+pct+iso639-3_msk,#indicator+lang+pct+iso639-3_mrw,#indicator+lang+pct+iso639-3_tis,#indicator+lang+pct+iso639-3_msb,#indicator+lang+pct+iso639-3_mbt,#indicator+lang+pct+iso639-3_pwn,#indicator+lang+pct+iso639-3_ity,#indicator+lang+pct+iso639-3_obo,#indicator+lang+pct+iso639-3_group,#indicator+lang+pct+iso639-3_plc,#indicator+lang+pct+iso639-3_group,#indicator+lang+pct+iso639-3_pag,#indicator+lang+pct+iso639-3_prf,#indicator+lang+pct+iso639-3_rol,#indicator+lang+pct+iso639-3_sse,#indicator+lang+pct+iso639-3_sbb,#indicator+lang+pct+iso639-3_snl,#indicator+lang+pct+iso639-3_syb,#indicator+lang+pct+iso639-3_sgd,#indicator+lang+pct+iso639-3_tdy,#indicator+lang+pct+iso639-3_klg,#indicator+lang+pct+iso639-3_tgl,#indicator+lang+pct+iso639-3_tbw,#indicator+lang+pct+iso639-3_tbk,#indicator+lang+pct+iso639-3_bnj,#indicator+lang+pct+iso639-3_tsg,#indicator+lang+pct+iso639-3_tbl,#indicator+lang+pct+iso639-3_tiy,#indicator+lang+pct+iso639-3_ifk,#indicator+lang+pct+iso639-3_war,#indicator+lang+pct+iso639-3_yka,#indicator+lang+pct+iso639-3_ygo,#indicator+lang+pct+iso639-3_xsb,#indicator+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age10up,#population+m+pct+literate+age10up,#population+f+pct+literate+age10up,#meta+data+bool,#meta+confidence,#meta+text
PH012800000,Ilocos Norte,Ilocos Region (Region I),PH010000000,Philippines (the),PH,4,Ilocano,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.002,593081,297930,295151,0.985,0.986,0.984,Y,High,
PH012900000,Ilocos Sur,Ilocos Region (Region I),PH010000000,Philippines (the),PH,5,Ilocano,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0.033,689668,347558,342110,0.988,0.99,0.987,Y,High,
PH013300000,La Union,Ilocos Region (Region I),PH010000000,Philippines (the),PH,7,Ilocano,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0.002,786653,397101,389552,0.988,0.989,0.987,Y,High,
PH015500000,Pangasinan,Ilocos Region (Region I),PH010000000,Philippines (the),PH,5,Pangasinan/Panggalato,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0.018,2956726,1493708,1463018,0.992,0.992,0.992,Y,High,
PH020900000,Batanes,Cagayan Valley (Region II),PH020000000,Philippines (the),PH,5,Ivatan,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,17246,8822,8424,0.989,0.992,0.986,Y,High,
PH021500000,Cagayan,Cagayan Valley (Region II),PH020000000,Philippines (the),PH,12,Ilocano,0.701,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.001,0,0.701,0,0,0,0.001,0.185,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0.002,1199320,607886,591434,0.943,0.937,0.949,Y,High,
PH023100000,Isabela,Cagayan Valley (Region II),PH020000000,Philippines (the),PH,12,Ilocano,0.704,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.123,0,0,0.704,0,0,0,0,0.005,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.012,0,0.01,1593566,812580,780986,0.979,0.978,0.981,Y,High,
PH025000000,Nueva Vizcaya,Cagayan Valley (Region II),PH020000000,Philippines (the),PH,14,Ilocano,0.657,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0.039,0,0,0,0.657,0,0,0.01,0,0,0,0.003,0,0,0.104,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0,0,0,0,0.007,0,0,0,0,0.047,452287,231891,220396,0.971,0.972,0.97,Y,High,
PH025700000,Quirino,Cagayan Valley (Region II),PH020000000,Philippines (the),PH,14,Ilocano,0.767,0,0.003,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0.001,0,0,0.006,0,0.001,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.001,0,0,0.767,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.032,0,0,0.001,0,0.071,188991,97594,91397,0.969,0.968,0.97,Y,High,
