ID,Business_Area,Location,Population,Average_Income_Family,Minimum_Salary,Fast_Internet,Good_Transportation_Services,Build_New_Franchise
1,1,A,1000000,35000,15000,Yes,Yes,No
2,2,A,1000000,25000,15000,Yes,Yes,Yes
3,3,A,500000,50000,18000,Yes,No,No
4,3,B,1500000,20000,15000,No,Yes,Yes
5,4,A,1000000,20000,15000,No,No,No
6,4,B,1100000,20000,15000,No,No,No
7,4,C,1200000,20000,15000,No,No,Yes
8,5,A,350000,35000,20000,Yes,No,Yes
9,5,B,350000,37000,20000,Yes,No,Yes
10,6,A,500000,40000,20000,Yes,No,No
11,6,B,600000,38000,20000,Yes,No,No
12,6,C,750000,29000,20000,Yes,No,Yes
13,6,D,500000,36000,20000,Yes,No,Yes
14,7,A,1100000,28700,17000,Yes,Yes,Yes
15,7,B,1200000,28500,17000,Yes,Yes,No
16,7,C,1300000,27500,17000,Yes,Yes,No
17,7,D,1000000,22500,17000,No,Yes,No
18,8,A,750000,23000,14500,No,Yes,Yes
19,9,A,500000,37500,15000,Yes,No,No
20,10,A,500000,38500,15000,Yes,No,No
