Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
0,1st year,2,New,Romblon,Male,5/18/2001,Single,4,1st,Tablas Island,No,No,No,Yes,3,Happy / Excited,Because the learning in school is so very different than learning at home,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
1,1st year,2,New,Romblon,Male,10/12/2000,Single,2,4th,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed,Because I don't know if i learned or not,Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective,3,3,Yes,4,A SOFTCOPY of your module,4,Yes,4,No,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
2,4th year,3,Old,Romblon,Female,10/16/1998,Single,4,1st,Tablas Island,No,No,No,Yes,2,Did not feel anything,I dont know,Entirely no Face-to-Face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,4,4,Yes,3,A SOFTCOPY of your module,5,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
3,1st year,2,New,Romblon,Male,1/1/1996,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Happy / Excited,Because it is the first time i am going to learn in different way and it is challenging,Entirely no Face-to-Face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,5,5,Yes,5,A SOFTCOPY of your module,5,Yes,5,Yes,5,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty & Student Online Discussion of Lesson
4,4th year,3,Old,Romblon,Male,8/29/1998,Single,7,3rd,Tablas Island,Yes,Yes,,Yes,2,Sad / Disappointed,because sometimes i didnt get the knowledge in a topic,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity",3,3,Yes,3,A HARCOPY of your module,3,Yes,3,Yes,2,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
5,3rd year,1,Old,Romblon,Female,3/24/2021,Single,6,4th,Tablas Island,No,No,,Yes,3,Sad / Disappointed,Difficult,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,3,3,Yes,3,A HARCOPY of your module,3,Yes,5,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
6,1st year,7,New,Romblon,Male,7/17/2001,Single,5,3rd,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,?,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,3,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
7,4th year,2,Old,Romblon,Male,6/9/1992,Married,5,5th,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,Learning face to face is much better and more efficient than online learning.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity",4,5,Yes,5,A HARCOPY of your module,2,Yes,5,No,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
8,1st year,2,New,Romblon,Female,1/26/2002,Single,2,2nd,Tablas Island,No,No,Yes,Yes,5,Sad / Disappointed;Worried / Nervous,"I feeling right now is sad, hurt and angry because i feel It is always  appropriate to be a 'good person' and to communicate with someone and i need support No matther what of relationship ",Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,4,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
9,4th year,1,Old,Romblon,Male,6/6/2000,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,The instructions might not as clear as F2F.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,2,A HARCOPY of your module,3,Yes,3,Yes,2,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
10,1st year,7,New,Romblon,Male,6/13/2001,Single,1,3rd,Tablas Island,No,No,No,Yes,2,Worried / Nervous,Because i dont have any kind of material like loptop nd others.,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,4,Yes,3,A HARCOPY of your module,3,Yes,4,Yes,2,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
11,2nd Year,1,Old,Romblon,Male,2/14/2000,Single,13,12th,Tablas Island,Yes,No,No,Yes,1,Happy / Excited,Did no feel ,A hardcopy of the module would be distributed to all students,3,3,No,4,A HARCOPY of your module,3,Yes,2,Yes,4,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
12,2nd Year,1,Old,Romblon,Male,5/5/2001,Single,2,8th,Tablas Island,No,No,No,Yes,3,Happy / Excited;Worried / Nervous,Nervous,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,1,Yes,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
13,4th year,1,Old,Romblon,Male,10/28/1995,Single,7,6th,"Tres Islas (Banton, Sibale, Simara)",No,No,No,Yes,3,Happy / Excited,"Because in that case, it would be a big help for my parents to save money in paying boarding house and giving allowance. ",Module is the primary tool in learning,4,4,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,2,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
14,1st year,2,New,Romblon,Female,4/1/2001,Single,2,3rd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,"I'm very sad, and worried.","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Assessment of student performance will not be that reliable",3,5,Yes,3,A SOFTCOPY of your module,4,Yes,5,Yes,3,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
15,3rd year,1,New,Romblon,Male,1/2/2000,Single,1,1st,Tablas Island,No,No,Yes,Yes,3,Happy / Excited;Worried / Nervous,DUN PARIN KASI YUNG PANGAMBA NG COVID-19,Entirely no Face-to-Face,3,3,Yes,3,A SOFTCOPY of your module,2,Yes,3,Yes,3,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
16,2nd Year,1,New,Romblon,Female,2/11/2001,Single,1,1st,Tablas Island,No,No,No,Yes,2,Worried / Nervous,kase po baka di ko makuha agad yung mga lessons,A hardcopy of the module would be distributed to all students,3,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
17,3rd year,1,Old,Romblon,Female,9/17/1997,Single,6,6th,Tablas Island,No,No,Yes,Yes,3,Did not feel anything,Because i understand the situation ,Entirely no Face-to-Face,3,3,Yes,3,A SOFTCOPY of your module,4,Yes,3,Yes,3,No,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
18,1st year,7,New,Romblon,Male,4/19/2001,Single,4,2nd,"Tres Islas (Banton, Sibale, Simara)",No,Yes,,Yes,3,Happy / Excited;Worried / Nervous,Because at first I feel happy cause I got to experience something new and later on I got worried because the signal in Banton is sometimes two days no data connection and miss out on quizzes and activities. ,Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited,3,4,Yes,3,A SOFTCOPY of your module,3,Yes,5,Yes,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
19,2nd Year,1,New,Romblon,Female,5/15/2000,Single,10, ,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous;Did not feel anything,"Sometimes worried, sad and stressed","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,2,Yes,4,Yes,3,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
20,2nd Year,1,New,Romblon,Female,5/2/2000,Single,5,4th,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Worried because the internet connection here is kinda poor and some topics are hard to understand no matter how many times you read it and the examples sometimes are not easy to understand or rather some provide small examples. Then it is given that some of us (including me) doesn't own laptops and it is kind of tricky when the instructors has this projects that only the applications from a laptop can provide. ,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,3,Yes,4,No,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
21,1st year,2,New,Romblon,Female,3/12/2002,Single,3,3rd,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,"Because for me, it is better have face to face classes. It will let you understand the lesson well. Unlike online, you need to self-study. ","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",2,2,Yes,3,A HARCOPY of your module,5,Yes,5,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
22,2nd Year,4,New,Romblon,Male,1/8/2001,Single,7,1st,"Tres Islas (Banton, Sibale, Simara)",No,No,No,Yes,3,Sad / Disappointed,Cause that's life,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger",3,3,Yes,3,A HARCOPY of your module,3,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
